序号,目标位置X,目标位置Y,目标位置Z,最大速度,结束速度
1,5000,5000,1000,60000,60000
2,7000,5010,2000,20000,10000
3,9000,5020,3000,20000,10000
4,11000,5030,4000,20000,10000
5,13000,5040,5000,20000,10000
6,15000,5050,6000,20000,10000
7,17000,5060,7000,20000,10000
8,19000,5070,8000,20000,10000
9,21000,5080,9000,20000,10000
10,23000,5090,10000,20000,10000
11,25000,5100,11000,20000,10000
12,27000,5110,12000,20000,10000
13,29000,5120,13000,20000,10000
14,31000,5130,14000,20000,10000
15,33000,5140,15000,20000,10000
16,35000,5150,16000,20000,10000
17,37000,5160,17000,20000,10000
18,39000,5170,18000,20000,10000
19,41000,5180,19000,20000,10000
20,43000,5190,20000,20000,10000
21,45000,5200,21000,20000,10000
22,47000,5210,22000,20000,10000
23,49000,5220,23000,20000,10000
24,51000,5230,24000,20000,10000
25,53000,5240,25000,20000,10000
26,55000,5250,26000,20000,10000
27,57000,5260,27000,20000,10000
28,59000,5270,28000,20000,10000
29,61000,5280,29000,20000,10000
30,63000,5290,30000,20000,10000
31,65000,5300,31000,20000,10000
32,67000,5310,32000,20000,10000
33,69000,5320,33000,20000,10000
34,71000,5330,34000,20000,10000
35,73000,5340,35000,20000,10000
36,75000,5350,36000,20000,10000
37,77000,5360,37000,20000,10000
38,79000,5370,38000,20000,10000
39,81000,5380,39000,20000,10000
40,83000,5390,40000,20000,10000
41,85000,5400,41000,20000,10000
42,87000,5410,42000,20000,10000
43,89000,5420,43000,20000,10000
44,91000,5430,44000,20000,10000
45,93000,5440,45000,20000,10000
46,95000,5450,46000,20000,10000
47,97000,5460,47000,20000,10000
48,99000,5470,48000,20000,10000
49,101000,5480,49000,20000,10000
